index,id,artist,asciiName,availability,boosterTypes,borderColor,colorIdentity,colors,faceName,finishes,flavorText,frameEffects,frameVersion,hasFoil,hasNonFoil,isFullArt,isFunny,isPromo,isReprint,isTextless,keywords,language,layout,manaCost,mcmId,mtgArenaId,mtgjsonV4Id,multiverseId,name,number,originalText,originalType,otherFaceIds,power,promoTypes,reverseRelated,scryfallId,scryfallIllustrationId,scryfallOracleId,securityStamp,setCode,side,signature,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,watermark
10,11,Matt Stewart,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Vigilance,English,token,,,,178015b2-b9bb-52d2-a245-53241764a4ea,,Knight,5,,,,2,,"Aryel, Knight of Windgrace,Banish into Fable,Basri's Lieutenant,Call the Cavalry,Doom Foretold,Gallant Cavalry,Gideon's Phalanx,History of Benalia,Knightly Valor,Knight Watch,Lonesome Unicorn // Rider in Need,Militant Angel,Righteous Confluence,Security Blockade,Selesnya Charm,Sigiled Sword of Valeron,Silverwing Squadron,Sunspire Gatekeepers,The Circle of Loyalty,Trostani's Summoner,Valiant Endeavor,Valorous Steed",b73ee667-09a1-40b9-85e8-902d9c06adcf,ae4800d6-1be9-4a71-9745-cbbfaa0ec8fe,340aaeb6-cd18-4908-9729-8c53ab02c6f8,,T2X2,,,Knight,,,Vigilance,2,Token Creature — Knight,"Token,Creature",06558f31-bce8-5504-9058-d836968bab2b,
11,12,Steven Belledin,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Prowess,English,token,,,,e089897d-e9cb-5731-9123-0dc96b17850a,,Monk,6,,,,1,,Monastery Mentor,8f9d16af-2b50-426f-98d2-992d97a4a150,4ab42929-571e-4143-92fa-fa939a26f1a9,bfa57f61-3811-43da-b73e-90e3e5b0b2c2,,T2X2,,,Monk,,,Prowess,1,Token Creature — Monk,"Token,Creature",e4440487-4f32-5ed9-b485-0e34a2258f79,
12,13,Magali Villeneuve,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,7db3fdd0-9717-55f9-ab39-1289c7a3f2ba,,Soldier,7,,,,1,,"Abdel Adrian, Gorion's Ward,Akroan Horse,Alliance of Arms,Ancestral Blade,Attended Knight,Bant Sojourners,Basri Ket,Benalish Commander,Captain of the Watch,Captain's Call,Darien, King of Kjeldor,Decree of Justice,Defiler of Faith,Deploy to the Front,Elspeth, Knight-Errant,Elspeth, Sun's Champion,Elspeth Tirel,Entrapment Maneuver,Evangel of Heliod,Even the Odds,First Response,Heroic Reinforcements,Hero of Bladehold,Horn of Valhalla // Ysgard's Call,Ironroot Warlord,Keeper of the Accord,Kjeldoran Outpost,Knight-Captain of Eos,Launch the Fleet,Lena, Selfless Champion,Lieutenants of the Guard,Martial Coup,Memorial to Glory,Mobilization,Murder Investigation,Prava of the Steel Legion,Precinct Captain,Queen Allenal of Ruadach,Raise the Alarm,Recruitment Drive,Recruit the Worthy,Secure the Scene,Security Detail,Sergeant-at-Arms,Skyknight Vanguard,Stormfront Riders,Throne of Empires,Timely Reinforcements,Torsten, Founder of Benalia,Undercellar Sweep,Veteran Soldier,You're Confronted by Robbers,Decree of Justice,Kjeldoran Outpost",17763402-d0bc-44d8-8655-ceca164cae9d,b4e06409-cc4b-4e0e-b6c5-0b03c86c5a21,eac25f12-6459-438c-a09e-93e23d2cf80d,,T2X2,,,Soldier,,,,1,Token Creature — Soldier,"Token,Creature",d9361551-ef54-562f-b97a-0d2500ac5588,
13,14,Mike Sass,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Flying,English,token,,,,9a08aacb-6ea5-583d-835c-b70b0973bcfe,,Spirit,8,,,,1,,"Abzan Ascendancy,Afterlife,Alharu, Solemn Ritualist,Avacyn's Collar,Benevolent Offering,Bishop of Wings,Blessed Defiance,Brine Comber // Brinebound Gift,Clarion Spirit,Confront the Assault,Court of Grace,Custodi Soulbinders,Dauntless Cathar,Doomed Traveler,Drogskol Cavalry,Elgaud Inquisitor,Emissary of the Sleepless,Ethereal Investigator,Field of Souls,Funeral Pyre,Gallows at Willow Hill,Geist-Honored Monk,Hallowed Spiritkeeper,Hanged Executioner,Haunted Dead,Haunted Library,Heron-Blessed Geist,Kaya, Geist Hunter,Kaya the Inexorable,Kirtar's Wrath,Kykar, Wind's Fury,Lingering Souls,Luminous Angel,March of Souls,Mausoleum Guard,Midnight Haunting,Millicent, Restless Revenant,Moorland Haunt,Nearheath Chaplain,Not Forgotten,Nurturing Presence,Occult Epiphany,Priest of the Blessed Graf,Ranar the Ever-Watchful,Requiem Angel,Rousing of Souls,Sanctifier of Souls,Sandsteppe Outcast,Seize the Soul,Slayer's Plate,Spectral Procession,Spectral Reserves,Spirit Bonds,Spirit Cairn,Teysa, Orzhov Scion,Thalia's Geistcaller,Thalisse, Reverent Medium,Transluminant,Triplicate Spirits,Twilight Drover,Valor of the Worthy,Vessel of Ephemera,Whispering Wizard,Millicent, Restless Revenant",7ebb3b03-943e-4b5a-be04-f59316b81333,820045f7-8aee-4ad0-9edc-9540c37b677a,dc4e2134-f0c2-49aa-9ea3-ebf83af1445c,,T2X2,,,Spirit,,,Flying,1,Token Creature — Spirit,"Token,Creature",5bb80cf6-edae-5967-8e02-a2692efe9268,
14,15,John Severin Brassell,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Lifelink,English,token,,,,f5674858-38ac-5d02-a617-1bf218d1d350,,Vampire,9,,,,1,,"Call to the Feast,Elenda, the Dusk Rose,Legion's Landing // Adanto, the First Fort,Martyr of Dusk,Mavren Fein, Dusk Apostle,Paladin of the Bloodstained,Queen's Commission,Squire's Devotion",287a7057-ce44-4082-a3da-8c09b8a88fba,e8101ef4-07fd-47d1-9300-42f65ef11383,97af46cb-6209-4ae7-81cc-792894999937,,T2X2,,,Vampire,,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),1,Token Creature — Vampire,"Token,Creature",5e95d749-81f3-5294-a405-b4b65a32eb4f,
15,16,Svetlin Velinov,,paper,,black,U,U,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Flying,English,token,,,,cc8d2d11-941e-5c1b-acd2-6b90ac567e4b,,Drake,10,,,,2,,"Drake Haven,Roost of Drakes,Talrand's Invocation,Talrand, Sky Summoner",958a4bb3-7f76-4f8a-8af6-439b09b3ee0f,bd27a16e-6ba3-4966-8d70-9ed6e7f52d62,9e266374-80f1-458a-9417-16220d2a013a,,T2X2,,,Drake,,,Flying,2,Token Creature — Drake,"Token,Creature",7c0e0855-217e-56a4-9a75-5409a158aec1,
16,17,Dave Allsop,,paper,,black,B,B,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Flying,English,token,,,,4ff5b063-7b13-57f3-acd9-25fa25a307b8,,Faerie Rogue,11,,,,1,,"Bitterblossom,Notorious Throng,Violet Pall",55998d0d-b169-4e1b-a9e2-a2ea75b4bbf0,dfbe3660-9ff1-4068-a3df-279a96d4ff1b,741b9f0d-8c0d-4865-b177-fb64b687ad11,,T2X2,,,"Faerie,Rogue",,,Flying,1,Token Creature — Faerie Rogue,"Token,Creature",367b2213-a86a-5fdb-90f7-8c93a74cb3c3,
17,18,Anna Steinbauer,,paper,,black,B,B,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,f40e065e-96a0-5ad6-a23a-e36154a99834,,Zombie,12,,,,2,,"Acererak the Archlich,Aphemia, the Cacophony,Archdemon of Unx,Army of the Damned,Assemble the Rank and Vile,Awaken the Erstwhile,Boneclad Necromancer,Bone Miser,Bridge from Below,Captive Audience,Cellar Door,Cemetery Reaper,Cradle of the Accursed,Cryptbreaker,Curse of Disturbance,Curse of Shallow Graves,Dark Salvation,Death Tyrant,Diregraf Colossus,Doomed Dissenter,Drana's Chosen,Dread Summons,Drunau Corpse Trawler,Dunes of the Dead,Dying to Serve,Empty the Pits,Endless Ranks of the Dead,Feast or Famine,Field of the Dead,From Under the Floorboards,Ghoulcaller Gisa,Ghoulcaller's Accomplice,Gisa's Bidding,Graf Harvest,Grave Titan,Graveyard Marshal,Grixis Slavedriver,Havengul Runebinder,Headless Rider,Hour of Promise,Kalitas, Traitor of Ghet,Liliana, Death's Majesty,Liliana, Dreadhorde General,Liliana, Heretical Healer // Liliana, Defiant Necromancer,Liliana's Devotee,Liliana's Mastery,Liliana's Reaver,Liliana, the Last Hope,Maalfeld Twins,Magus of the Bridge,Midnight Ritual,Moan of the Unhallowed,Necromancer's Covenant,Necromancer's Stockpile,Necromaster Dragon,Necromentia,Necrotic Hex,Nested Ghoul,Never // Return,Nevinyrral, Urborg Tyrant,Noosegraf Mob,Null Caller,Oath of Liliana,Oglor, Devoted Assistant,Open the Graves,Overseer of the Damned,Rakshasa Gravecaller,Rank Officer,Reap the Seagraf,Rise from the Tides,Rotlung Reanimator,Sarcomancy,Shamble Back,Sidisi, Brood Tyrant,Skull Skaab,Stir the Sands,Syphon Flesh,The Book of Vile Darkness,Tombstone Stairwell,Tormod, the Desecrator,Tymaret Calls the Dead,Undead Alchemist,Undead Servant,Unscythe, Killer of Kings,Varina, Lich Queen,Vile Rebirth,Wakedancer,Wand of Orcus,Waste Not,Wight,Xathrid Necromancer,Zombie Infestation,Lair of the Ashen Idol,The Fourth Sphere",31603503-fd3a-4c57-90ad-4175bb2c8150,2391d548-fc02-4021-a6c5-fa680b9f4fde,ddc8c973-c31e-463f-be45-f3fa7d632362,,T2X2,,,Zombie,,,,2,Token Creature — Zombie,"Token,Creature",64241dfe-167b-5c4a-ba03-c0bb9a4996b6,
18,19,Winona Nelson,,paper,,black,R,R,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,015eec9a-9f9e-5ca8-bc5b-e4fed3826993,,Elemental,13,,,,1,,"Chandra, Acolyte of Flame,Elemental Mastery,Mask of Immolation,Molten Birth,Scampering Scorcher,Seasoned Pyromancer,Tilonalli's Summoner,Young Pyromancer",462bb611-5a02-441c-ae8a-911b75436864,b72510b2-4740-465b-8b71-58cea9d54eff,1a6c2152-71ca-46be-ab83-c84633442257,,T2X2,,,Elemental,,,,1,Token Creature — Elemental,"Token,Creature",27b9adf3-cfb3-5551-adad-757e7f00201c,
19,20,Kev Walker,,paper,,black,G,G,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,0bf72954-b1d1-555d-b3b7-eebde3266018,,Bear,14,,,,4,,Bear's Companion,8169a2e1-ed39-41cf-9a36-3c2b59499819,437ae275-f890-46f9-b62a-67650a9eefb5,af4bd34a-0a0b-4c53-8f13-579c45ab471a,,T2X2,,,Bear,,,,4,Token Creature — Bear,"Token,Creature",18eef80e-48c6-500e-98cf-3ed4c3601b55,
20,21,Jesper Ejsing,,paper,,black,G,G,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,51dd51e6-e4b3-5a91-8533-c278920e0a26,,Boar,15,,,,3,,Brindle Shoat,8a911fad-7af3-4bc4-bafc-cac2d5f18f22,8225805c-226e-40b1-9758-11efa105bd74,e4a19155-6689-43de-8175-f28dd2cf0a9a,,T2X2,,,Boar,,,,3,Token Creature — Boar,"Token,Creature",c8599875-0389-5953-be39-61a5a7b5bb6a,
21,22,Christopher Burdett,,paper,,black,G,G,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Defender,English,token,,,,c053b0a1-2380-558a-aa53-2cf270abf9b3,,Egg,16,,,,0,,"Atla Palani, Nest Tender",7b545a43-8837-49a1-83d8-7c548d5237d2,9cf87a3c-45cb-49f0-b7fe-6d7387ac0b9b,3d4ebac1-6151-4c6f-93ae-7110e54af786,,T2X2,,,Egg,,,Defender,1,Token Creature — Egg,"Token,Creature",9db7edf6-2139-5df7-8e94-5906ee38136d,
22,23,Brad Rigney,,paper,,black,G,G,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,3babf062-ddd6-50b3-a90f-065032873f2d,,Saproling,17,,,,1,,"Aether Mutation,Artifact Mutation,Aura Mutation,Bramble Elemental,Deathbloom Thallid,Death Mutation,Deathspore Thallid,Dreampod Druid,Druidic Satchel,Elvish Farmer,Fists of Ironwood,Flash Foliage,Fungal Infection,Fungal Plots,Fungal Rebirth,Fungal Sprouting,Ghave, Guru of Spores,Golgari Germination,Greener Pastures,Jade Mage,Jund Battlemage,Korozda Guildmage,Last Stand,Morbid Bloom,Mycologist,Mycoloth,Necrogenesis,Nemata, Grove Guardian,Night Soil,Overgrown Armasaur,Pallid Mycoderm,Pollenbright Wings,Psychotrope Thallid,Rith's Charm,Rith, the Awakener,Saproling Cluster,Saproling Infestation,Saproling Migration,Saproling Symbiosis,Sarpadian Empires, Vol. VII,Savage Thallid,Scatter the Seeds,Seed Spark,Selesnya Evangel,Selesnya Guildmage,Slimefoot, the Stowaway,Spontaneous Generation,Spore Burst,Sporemound,Sporesower Thallid,Spore Swarm,Sporeweb Weaver,Sporogenesis,Sporoloth Ancient,Sprout,Sprouting Thrinax,Sprout Swarm,Supply // Demand,Tana, the Bloodsower,Tendershoot Dryad,Thallid,Thallid Devourer,Thallid Germinator,Thallid Shell-Dweller,Thelonite Hermit,Tukatongue Thallid,Ulasht, the Hate Seed,Undercellar Myconid,Utopia Mycon,Verdant Embrace,Verdant Force,Verdeloth the Ancient,Vitaspore Thallid,Vitu-Ghazi, the City-Tree,Yavimaya Sapherd,Grand Ossuary,Saproling Cluster,Verdant Force",b2c9bcf4-4e8c-467c-8c72-4a9cd0556e93,54430daa-acec-42fc-9330-ef8c4c015569,2b7dba01-b08c-4218-9fc1-da55559d9155,,T2X2,,,Saproling,,,,1,Token Creature — Saproling,"Token,Creature",b04a8173-24b6-577f-a150-cd7e51791c04,
23,24,Slawomir Maniak,,paper,,black,G,G,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Reach,English,token,,,,735d8bf3-2272-559f-b88c-67ada78aa55d,,Spider,18,,,,1,,"Arachnogenesis,Arasta of the Endless Web,Brood Weaver,Curse of Clinging Webs,Gloomwidow's Feast,Ishkanah, Grafwidow,Rotwidow Pack,Spider Spawning,Twin-Silk Spider",f74900ca-7f0d-460c-86b0-b515c8b44e67,2dabea78-8f20-4076-ab75-32393ca41301,bd386399-69f0-4653-96a1-fd05b8fd148c,,T2X2,,,Spider,,,Reach,2,Token Creature — Spider,"Token,Creature",23cf1fd4-4cb8-52d1-89ca-401b60ff3ec9,
24,25,Cynthia Sheppard,,paper,,black,"B,G,R","B,G,R",,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Flying,English,token,,,,104451c5-539b-597f-a07d-ac1b1e06147e,,Cat Dragon,19,,,,3,,"Wasitora, Nekoru Queen",b1e883aa-5f73-4c45-9253-1350c24222e4,6fc2b4bb-aff7-4c46-8ee5-661a71df0dea,afdf7400-0723-4f0d-b3d8-46ad3a698908,,T2X2,,,"Cat,Dragon",,,Flying,3,Token Creature — Cat Dragon,"Token,Creature",77468071-de65-572f-80bc-88e11a77392f,
